UTLA,UTLA_name,x_long,y_lat,area,RGN,RGN_name,popT,popT1,popT2,popT3,popM,popM1,popM2,popM3,popF,popF1,popF2,popF3,income,density
E10000019,Lincolnshire,-0.250631,53.115208,5920.63623,E12000004,East Midlands,755833,153938,473967,127928,370025,78339,232163,59523,385808,75599,241804,68405,27228.33333,127.6607734
E10000020,Norfolk,0.954111,52.670734,5372.1965,E12000006,East of England,903680,180218,561717,161745,443981,92540,277553,73888,459699,87678,284164,87857,28338.28996,168.2142491
E10000021,Northamptonshire,-0.864696,52.307705,2367.099222,E12000004,East Midlands,747622,178592,474663,94367,369502,91040,235190,43272,378120,87552,239473,51095,28881.75355,315.8388939
E10000023,North Yorkshire,-1.419831,54.190204,8040.264406,E12000003,Yorkshire and The Humber,614505,124194,382109,108202,302669,64161,190123,48385,311836,60033,191986,59817,28478.28418,76.4284567
E10000024,Nottinghamshire,-1.006656,53.133547,2084.819671,E12000004,East Midlands,823126,175335,525260,122531,405546,89782,260610,55154,417580,85553,264650,67377,30568.20926,394.8187997
E10000025,Oxfordshire,-1.322309,51.765774,2605.985182,E12000008,South East,687524,152922,442867,91735,342679,78390,222973,41316,344845,74532,219894,50419,33204.6683,263.8249844
E10000027,Somerset,-2.938666,51.098889,3452.183391,E12000009,South West,559399,116975,343295,99129,273264,59698,168845,44721,286135,57277,174450,54408,27058.10398,162.0420866
E10000028,Staffordshire,-2.032294,52.851988,2623.312425,E12000005,West Midlands,875219,179136,559039,137044,435175,92093,280915,62167,440044,87043,278124,74877,28102.84091,333.6312487
E10000029,Suffolk,1.058798,52.220762,3801.795341,E12000006,East of England,758556,161050,468453,129053,375033,82338,233850,58845,383523,78712,234603,70208,28966.21315,199.5257324
E10000030,Surrey,-0.420578,51.247868,1670.149967,E12000008,South East,1189934,275824,747664,166446,584230,141250,369269,73711,605704,134574,378395,92735,34309.59097,712.471349
E10000031,Warwickshire,-1.559547,52.300647,1977.647353,E12000005,West Midlands,571010,122221,362260,86529,282071,62457,180621,38993,288939,59764,181639,47536,28890.26549,288.7319618
E10000032,West Sussex,-0.489731,50.958306,1990.502506,E12000008,South East,858852,183745,529748,145359,417764,94864,259023,63877,441088,88881,270725,81482,30712.67327,431.4749654
E10000034,Worcestershire,-2.169214,52.223745,1740.496298,E12000005,West Midlands,592057,124155,371818,96084,291251,63535,183909,43807,300806,60620,187909,52277,28335.98901,340.1656187
